person,event,offer_id,amount,reward,time,이상치여부
00e20b4ca129458aaab0f4727ef3513a,offer received,4d5c57ea9a6940dd891ad53e9dbe8da0,,,0,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer viewed,4d5c57ea9a6940dd891ad53e9dbe8da0,,,36,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,6.24,,36,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,2.04,,96,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,4.61,,174,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,4.85,,246,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,5.72,,270,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,2.25,,318,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,2.75,,348,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,408,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,408,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,10.05,,426,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,426,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,0.4,,432,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,1.21,,438,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,3.69,,450,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,7.37,,474,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,4.41,,522,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,2.2800000000000002,,570,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,576,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,1.63,,588,이상치아님
00e20b4ca129458aaab0f4727ef3513a,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,594,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,125.32,,618,이상치
00e20b4ca129458aaab0f4727ef3513a,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,618,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,0.13,,654,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,3.15,,684,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,2.73,,702,이상치아님
00e20b4ca129458aaab0f4727ef3513a,transaction,,0.72,,708,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer received,3f207df678b143eea3cee63160fa8bed,,,0,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,6.67,,48,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer viewed,3f207df678b143eea3cee63160fa8bed,,,120,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,13.49,,156,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,439.37,,228,이상치
00e9f403afa641889cd034ee7c7ca6e9,transaction,,12.41,,318,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,15.37,,324,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer received,5a8bc65990b245e5a138643cd4eb9837,,,336,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,360,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,17.96,,372,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,408,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,9.27,,426,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,12.36,,432,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer completed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,5.0,432,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,504,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer viewed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,504,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,12.1,,534,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,13.1,,540,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer completed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,5.0,540,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,576,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,10.74,,576,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,576,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,582,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,10.17,,582,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,11.05,,594,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,7.27,,642,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,12.03,,648,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,9.0,,654,이상치아님
00e9f403afa641889cd034ee7c7ca6e9,transaction,,2.23,,708,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer received,ae264e3637204a6fb9bb56bc8210ddfd,,,0,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer viewed,ae264e3637204a6fb9bb56bc8210ddfd,,,0,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,713.2,,60,이상치
017febbe52e64ac19cf28cf0d44386e4,offer completed,ae264e3637204a6fb9bb56bc8210ddfd,,10.0,60,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,42.08,,108,이상치
017febbe52e64ac19cf28cf0d44386e4,transaction,,31.59,,150,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer received,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,168,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer viewed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,204,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,37.0,,204,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer completed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,5.0,204,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,24.52,,210,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,31.1,,222,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,25.23,,252,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,45.12,,264,이상치
017febbe52e64ac19cf28cf0d44386e4,offer received,5a8bc65990b245e5a138643cd4eb9837,,,336,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,390,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,408,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,444,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer received,5a8bc65990b245e5a138643cd4eb9837,,,504,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,510,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,31.02,,510,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,510,이상치아님
017febbe52e64ac19cf28cf0d44386e4,transaction,,22.55,,546,이상치아님
017febbe52e64ac19cf28cf0d44386e4,offer received,2906b810c7d4411798c6938adc9daaa5,,,576,이상치아님
019ed95d987446e3947da0246cdab831,offer received,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,0,이상치아님
019ed95d987446e3947da0246cdab831,offer viewed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,24,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,22.41,,78,이상치아님
019ed95d987446e3947da0246cdab831,offer completed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,5.0,78,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,14.21,,126,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,17.83,,156,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,23.86,,192,이상치아님
019ed95d987446e3947da0246cdab831,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,336,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,32.23,,348,이상치아님
019ed95d987446e3947da0246cdab831,offer completed,0b1e1539f2cc45b7b9fa7c272da2e1d7,,5.0,348,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,35.62,,414,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,26.85,,498,이상치아님
019ed95d987446e3947da0246cdab831,transaction,,342.08,,564,이상치
019ed95d987446e3947da0246cdab831,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,576,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,168,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,168,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,transaction,,573.13,,300,이상치
01ab25c31f034f85bc4ac9d286fb7a76,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,300,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer received,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,336,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer viewed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,342,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,transaction,,15.56,,426,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer completed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,5.0,426,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer received,ae264e3637204a6fb9bb56bc8210ddfd,,,504,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer viewed,ae264e3637204a6fb9bb56bc8210ddfd,,,516,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,transaction,,19.8,,546,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer completed,ae264e3637204a6fb9bb56bc8210ddfd,,10.0,546,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer received,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,576,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer viewed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,,582,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,transaction,,17.87,,606,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,offer completed,9b98b8c7a33c4b65b9aebfe6a799e6d9,,5.0,606,이상치아님
01ab25c31f034f85bc4ac9d286fb7a76,transaction,,17.93,,630,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,0,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,0,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,23.52,,108,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,108,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,19.73,,120,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer received,5a8bc65990b245e5a138643cd4eb9837,,,168,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer viewed,5a8bc65990b245e5a138643cd4eb9837,,,204,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer received,2298d6c36e964ae4a3e7e9706d1fb8c2,,,336,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer viewed,2298d6c36e964ae4a3e7e9706d1fb8c2,,,336,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,637.32,,360,이상치
01de69b5edab4b89859ea8a7214ba35a,offer completed,2298d6c36e964ae4a3e7e9706d1fb8c2,,3.0,360,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,21.09,,480,이상치아님
01de69b5edab4b89859ea8a7214ba35a,offer received,3f207df678b143eea3cee63160fa8bed,,,504,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,20.86,,528,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,21.86,,576,이상치아님
01de69b5edab4b89859ea8a7214ba35a,transaction,,21.5,,672,이상치아님
0215efe5136d4a038cb81eae92d59368,offer received,fafdcd668e3743c1bb461111dcafc2a4,,,0,이상치아님
0215efe5136d4a038cb81eae92d59368,offer viewed,fafdcd668e3743c1bb461111dcafc2a4,,,0,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,14.43,,6,이상치아님
0215efe5136d4a038cb81eae92d59368,offer completed,fafdcd668e3743c1bb461111dcafc2a4,,2.0,6,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,25.08,,30,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,21.71,,48,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,13.37,,108,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,11.2,,132,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,570.78,,138,이상치
0215efe5136d4a038cb81eae92d59368,transaction,,13.43,,156,이상치아님
0215efe5136d4a038cb81eae92d59368,transaction,,19.78,,204,이상치아님
0215efe5136d4a038cb81eae92d59368,offer received,0b1e1539f2cc45b7b9fa7c272da2e1d7,,,336,이상치아님
